industry_id,name,category,sector_index,name_length
PUBLI,Public administration and defence services; compulsory social security services (75),Public Administration,172,84
EDUCA,Education services (80),Education,173,23
HEALT,Health and social work services (85),Health & Social,174,36
FOODW,Food waste for treatment: incineration,Food Manufacturing,175,38
PAPE1,Paper waste for treatment: incineration,Administrative Services,176,39
PLAS1,Plastic waste for treatment: incineration,Chemicals,177,41
INTER,Intert/metal waste for treatment: incineration,Metals,178,46
TEXT1,Textiles waste for treatment: incineration,Textiles,179,42
WOOD1,Wood waste for treatment: incineration,Forestry,180,38
OILHA,Oil/hazardous waste for treatment: incineration,Administrative Services,181,47
FOOD1,Food waste for treatment: biogasification and land application,Mining,182,62
PAPE2,Paper waste for treatment: biogasification and land application,Mining,183,63
SEWAG,Sewage sludge for treatment: biogasification and land application,Mining,184,65
FOOD2,Food waste for treatment: composting and land application,Food Manufacturing,185,57
PAPE3,Paper and wood waste for treatment: composting and land application,Forestry,186,67
FOOD3,Food waste for treatment: waste water treatment,Food Manufacturing,187,47
WASTE,Other waste for treatment: waste water treatment,Utilities,188,48
FOOD4,Food waste for treatment: landfill,Food Manufacturing,189,34
PAPE4,Paper for treatment: landfill,Transportation Services,190,29
PLAS2,Plastic waste for treatment: landfill,Chemicals,191,37
INERT,Inert/metal/hazardous waste for treatment: landfill,Metals,192,51
TEXT2,Textiles waste for treatment: landfill,Textiles,193,38
WOOD2,Wood waste for treatment: landfill,Forestry,194,34
MEMBE,Membership organisation services n.e.c. (91),Transportation Equipment,195,44
RECRE,"Recreational, cultural and sporting services (92)",Arts & Recreation,196,49
93197,Other services (93),Other Services,197,19
PRIVA,Private households with employed persons (95),Other Services,198,45
EXTRA,Extra-territorial organizations and bodies,Other Services,199,42
